orig,opt
 (6.360609122741573990e-04+0.000000000000000000e+00j), (6.785622801071724414e-04+0.000000000000000000e+00j)
 (2.546592979493735552e-03+0.000000000000000000e+00j), (2.719521965255265825e-03+0.000000000000000000e+00j)
 (5.738664158681952218e-03+0.000000000000000000e+00j), (6.138777568766131190e-03+0.000000000000000000e+00j)
 (1.022412121665330388e-02+0.000000000000000000e+00j), (1.096309523155424535e-02+0.000000000000000000e+00j)
 (1.601969099370881972e-02+0.000000000000000000e+00j), (1.723051880654068169e-02+0.000000000000000000e+00j)
 (2.314712420730208678e-02+0.000000000000000000e+00j), (2.499095857217304914e-02+0.000000000000000000e+00j)
 (3.163338388323317513e-02+0.000000000000000000e+00j), (3.430697384561163382e-02+0.000000000000000000e+00j)
 (4.151088117599421173e-02+0.000000000000000000e+00j), (4.525477013537441973e-02+0.000000000000000000e+00j)
 (5.281776207549842422e-02+0.000000000000000000e+00j), (5.792543767381402864e-02+0.000000000000000000e+00j)
 (6.559824931213613375e-02+0.000000000000000000e+00j), (7.242646548071066115e-02+0.000000000000000000e+00j)
 (7.990304468595439691e-02+0.000000000000000000e+00j), (8.888357388576939577e-02+0.000000000000000000e+00j)
 (9.578979808258410167e-02+0.000000000000000000e+00j), (1.074429191895336505e-01+0.000000000000000000e+00j)
 (1.133236506262548932e-01+0.000000000000000000e+00j), (1.282737380388214998e-01+0.000000000000000000e+00j)
 (1.325778607938481179e-01+0.000000000000000000e+00j), (1.515715263524028689e-01+0.000000000000000000e+00j)
 (1.536345239192377643e-01+0.000000000000000000e+00j), (1.775652706156266580e-01+0.000000000000000000e+00j)
 (1.765853974234825041e-01+0.000000000000000000e+00j), (2.065045152770181858e-01+0.000000000000000000e+00j)
 (2.015328464580079249e-01+0.000000000000000000e+00j), (2.386998349147899379e-01+0.000000000000000000e+00j)
 (2.285909279170864061e-01+0.000000000000000000e+00j), (2.744945324968268707e-01+0.000000000000000000e+00j)
 (2.578866375334610828e-01+0.000000000000000000e+00j), (3.142897965423083750e-01+0.000000000000000000e+00j)
 (2.895613793526733426e-01+0.000000000000000000e+00j), (3.585510179075793724e-01+0.000000000000000000e+00j)
 (3.237734441033760513e-01+0.000000000000000000e+00j), (4.078194963123888961e-01+0.000000000000000000e+00j)
 (3.607014524807294897e-01+0.000000000000000000e+00j), (4.627268158149149824e-01+0.000000000000000000e+00j)
 (4.005233919723602543e-01+0.000000000000000000e+00j), (5.240125481637648575e-01+0.000000000000000000e+00j)
 (4.434760282344311078e-01+0.000000000000000000e+00j), (5.925461780655090216e-01+0.000000000000000000e+00j)
 (4.897960274697900629e-01+0.000000000000000000e+00j), (6.693544269215390141e-01+0.000000000000000000e+00j)
 (5.397548596598609194e-01+0.000000000000000000e+00j), (7.556555337637003156e-01+0.000000000000000000e+00j)
 (5.936566566771092068e-01+0.000000000000000000e+00j), (8.529025765248612334e-01+0.000000000000000000e+00j)
 (6.518425738110044110e-01+0.000000000000000000e+00j), (9.628386441244051186e-01+0.000000000000000000e+00j)
 (7.146960105104055438e-01+0.000000000000000000e+00j), (1.087567689888927935e+00+0.000000000000000000e+00j)
 (7.826487400321496812e-01+0.000000000000000000e+00j), (1.229646344350000087e+00+0.000000000000000000e+00j)
 (8.561881157864893455e-01+0.000000000000000000e+00j), (1.392204045782202915e+00+0.000000000000000000e+00j)
 (9.358655707353359388e-01+0.000000000000000000e+00j), (1.579101877614661253e+00+0.000000000000000000e+00j)
 (1.022306678607806774e+00+0.000000000000000000e+00j), (1.795144982692149727e+00+0.000000000000000000e+00j)
 (1.116223110682613040e+00+0.000000000000000000e+00j), (2.046370155416830094e+00+0.000000000000000000e+00j)
 (1.218426904341613382e+00+0.000000000000000000e+00j), (2.340440500462083850e+00+0.000000000000000000e+00j)
 (1.329847565147506572e+00+0.000000000000000000e+00j), (2.687195069757144950e+00+0.000000000000000000e+00j)
 (1.451552660229426195e+00+0.000000000000000000e+00j), (3.099426866138698333e+00+0.000000000000000000e+00j)
 (1.584772737266523901e+00+0.000000000000000000e+00j), (3.594004041231050994e+00+0.000000000000000000e+00j)
 (1.730931633966763528e+00+0.000000000000000000e+00j), (4.193518233017969443e+00+0.000000000000000000e+00j)
 (1.891683546458257759e+00+0.000000000000000000e+00j), (4.928762538345017319e+00+0.000000000000000000e+00j)
 (2.068958627571892084e+00+0.000000000000000000e+00j), (5.842551404893127298e+00+0.000000000000000000e+00j)
 (2.265019424304913542e+00+0.000000000000000000e+00j), (6.995779283167228968e+00+0.000000000000000000e+00j)
 (2.482531189843501185e+00+0.000000000000000000e+00j), (8.477348566117605344e+00+0.000000000000000000e+00j)
