orig,opt
 (4.504512518964968321e-02+0.000000000000000000e+00j), (6.381904423708549025e-03+0.000000000000000000e+00j)
 (1.803516261909252072e-01+0.000000000000000000e+00j), (2.553215151584745102e-02+0.000000000000000000e+00j)
 (4.064343430861023787e-01+0.000000000000000000e+00j), (5.746435043529578984e-02+0.000000000000000000e+00j)
 (7.241562430282403318e-01+0.000000000000000000e+00j), (1.022012093412355965e-01+0.000000000000000000e+00j)
 (1.134735844950821138e+00+0.000000000000000000e+00j), (1.597745772227862626e-01+0.000000000000000000e+00j)
 (1.639757764208773505e+00+0.000000000000000000e+00j), (2.302255097893408931e-01+0.000000000000000000e+00j)
 (2.241186531112862035e+00+0.000000000000000000e+00j), (3.136043758138289395e-01+0.000000000000000000e+00j)
 (2.941383887108552475e+00+0.000000000000000000e+00j), (4.099710556524633898e-01+0.000000000000000000e+00j)
 (3.743129816575616164e+00+0.000000000000000000e+00j), (5.193954284727894111e-01+0.000000000000000000e+00j)
 (4.649647632580043322e+00+0.000000000000000000e+00j), (6.419591301834953745e-01+0.000000000000000000e+00j)
 (5.664633502047371927e+00+0.000000000000000000e+00j), (7.777663406299512028e-01+0.000000000000000000e+00j)
 (6.792290873129754658e+00+0.000000000000000000e+00j), (9.271449612653294148e-01+0.000000000000000000e+00j)
 (8.037370354135077832e+00+0.000000000000000000e+00j), (1.090465280797781489e+00+0.000000000000000000e+00j)
 (9.405215696090152733e+00+0.000000000000000000e+00j), (1.265498820518343503e+00+0.000000000000000000e+00j)
 (1.090181664689706054e+01+0.000000000000000000e+00j), (1.455188202723511237e+00+0.000000000000000000e+00j)
 (1.253386958455333655e+01+0.000000000000000000e+00j), (1.658729292005444389e+00+0.000000000000000000e+00j)
 (1.430884699669291926e+01+0.000000000000000000e+00j), (1.876239212397307732e+00+0.000000000000000000e+00j)
 (1.623507706640386417e+01+0.000000000000000000e+00j), (2.107872180953803021e+00+0.000000000000000000e+00j)
 (1.832183484948893692e+01+0.000000000000000000e+00j), (2.353797460636716465e+00+0.000000000000000000e+00j)
 (2.057944680071932453e+01+0.000000000000000000e+00j), (2.614196676109774575e+00+0.000000000000000000e+00j)
 (2.301941077413478354e+01+0.000000000000000000e+00j), (2.889263431893929646e+00+0.000000000000000000e+00j)
 (2.565453361194031245e+01+0.000000000000000000e+00j), (3.179203414058275445e+00+0.000000000000000000e+00j)
 (2.849909030026677925e+01+0.000000000000000000e+00j), (3.484234639931216737e+00+0.000000000000000000e+00j)
 (3.156900655882465401e+01+0.000000000000000000e+00j), (3.804587771998178880e+00+0.000000000000000000e+00j)
 (3.488207049794261394e+01+0.000000000000000000e+00j), (4.140506470818018592e+00+0.000000000000000000e+00j)
 (3.845817770555586179e+01+0.000000000000000000e+00j), (4.492247778483134724e+00+0.000000000000000000e+00j)
 (4.231961592024543961e+01+0.000000000000000000e+00j), (4.860082530044834925e+00+0.000000000000000000e+00j)
 (4.649139665543177102e+01+0.000000000000000000e+00j), (5.244295792309396020e+00+0.000000000000000000e+00j)
 (5.100164265847980971e+01+0.000000000000000000e+00j), (5.645187330501746814e+00+0.000000000000000000e+00j)
 (5.588204204947434306e+01+0.000000000000000000e+00j), (6.063072103760186238e+00+0.000000000000000000e+00j)
 (6.116838241010430721e+01+0.000000000000000000e+00j), (6.498280790635726056e+00+0.000000000000000000e+00j)
 (6.690118114371637148e+01+0.000000000000000000e+00j), (6.951160346046393990e+00+0.000000000000000000e+00j)
 (7.312643227020058134e+01+0.000000000000000000e+00j), (7.422074591266273558e+00+0.000000000000000000e+00j)
 (7.989649468850339531e+01+0.000000000000000000e+00j), (7.911404838664215511e+00+0.000000000000000000e+00j)
 (8.727115315133596596e+01+0.000000000000000000e+00j), (8.419550553117472802e+00+0.000000000000000000e+00j)
 (9.531889116977762910e+01+0.000000000000000000e+00j), (8.946930052117123111e+00+0.000000000000000000e+00j)
 (1.041184253401447677e+02+0.000000000000000000e+00j), (9.493981246825061504e+00+0.000000000000000000e+00j)
 (1.137605639575590715e+02+0.000000000000000000e+00j), (1.006116242650521286e+01+0.000000000000000000e+00j)
 (1.243504702653000322e+02+0.000000000000000000e+00j), (1.064895308911593297e+01+0.000000000000000000e+00j)
 (1.360104337454044696e+02+0.000000000000000000e+00j), (1.125785482099737855e+01+0.000000000000000000e+00j)
 (1.488832834756115062e+02+0.000000000000000000e+00j), (1.188839222928036854e+01+0.000000000000000000e+00j)
 (1.631366186222781778e+02+0.000000000000000000e+00j), (1.254111393112631845e+01+0.000000000000000000e+00j)
 (1.789680865685203059e+02+0.000000000000000000e+00j), (1.321659360511850601e+01+0.000000000000000000e+00j)
 (1.966120148207927230e+02+0.000000000000000000e+00j), (1.391543111198803651e+01+0.000000000000000000e+00j)
 (2.163478070285624142e+02+0.000000000000000000e+00j), (1.463825369524820630e+01+0.000000000000000000e+00j)
 (2.385106584989327132e+02+0.000000000000000000e+00j), (1.538571727934161615e+01+0.000000000000000000e+00j)
 (2.635053508790113597e+02+0.000000000000000000e+00j), (1.615850789798217946e+01+0.000000000000000000e+00j)
 (2.918241767748917255e+02+0.000000000000000000e+00j), (1.695734332000952094e+01+0.000000000000000000e+00j)
 (3.240704654870039576e+02+0.000000000000000000e+00j), (1.778297502964159094e+01+0.000000000000000000e+00j)
 (3.609897966218860006e+02+0.000000000000000000e+00j), (1.863619097146055381e+01+0.000000000000000000e+00j)
 (4.035119035342045777e+02+0.000000000000000000e+00j), (1.951782029892676817e+01+0.000000000000000000e+00j)
 (4.528076518736570506e+02+0.000000000000000000e+00j), (2.042874460447947627e+01+0.000000000000000000e+00j)
 (5.103676068281417315e+02+0.000000000000000000e+00j), (2.136993652407313249e+01+0.000000000000000000e+00j)
