iter,f0val,fvirg,area
1.000000000000000000e+00,1.022830496588218807e+02,1.691628392865735409e+00,3.349999999999977263e+01
2.000000000000000000e+00,1.041362349125111422e+02,2.591931329957085861e+00,2.961562497618161061e+01
3.000000000000000000e+00,1.039127677707576112e+02,2.461936102985085029e+00,2.997766698887009440e+01
4.000000000000000000e+00,1.038726429248842322e+02,2.439294814134122635e+00,2.998093209247968005e+01
5.000000000000000000e+00,1.038062724476950365e+02,2.402300019253579055e+00,2.997133985268010292e+01
6.000000000000000000e+00,1.036056735206454107e+02,2.293862343890300082e+00,2.991171388074878124e+01
7.000000000000000000e+00,1.030344315390336760e+02,2.011143936359338635e+00,2.975680560683309039e+01
8.000000000000000000e+00,1.025190952461911849e+02,1.786115439548970896e+00,2.983726059569446321e+01
9.000000000000000000e+00,1.021715843515296314e+02,1.648763768029664734e+00,2.986735944730645187e+01
1.000000000000000000e+01,1.017432094113182330e+02,1.493897983805079432e+00,2.980148379221196819e+01
1.100000000000000000e+01,1.009552485223718321e+02,1.246019537939724531e+00,2.966783476155828225e+01
1.200000000000000000e+01,9.928523474210777522e+01,8.482492302444596399e-01,2.910871274803372799e+01
1.300000000000000000e+01,9.759312006681501828e+01,5.745290682611727817e-01,2.961178773268954245e+01
1.400000000000000000e+01,9.741644327238877565e+01,5.516254912786673348e-01,2.896130557260266869e+01
1.500000000000000000e+01,9.615827763315715515e+01,4.128837241160518978e-01,2.908363909250905976e+01
1.600000000000000000e+01,9.544677282131580398e+01,3.504913321868469156e-01,2.929388130548808888e+01
1.700000000000000000e+01,9.508307863629914891e+01,3.223352959137704699e-01,2.970240455493890508e+01
1.800000000000000000e+01,9.490330744988709455e+01,3.092649800503124435e-01,2.984946854798571536e+01
1.900000000000000000e+01,9.479260370561704008e+01,3.014812939341356413e-01,2.990168786405664036e+01
2.000000000000000000e+01,9.471216785639749958e+01,2.959489378474233767e-01,2.992839495732235022e+01
2.100000000000000000e+01,9.464258339074864068e+01,2.912449066529271269e-01,2.992914214802699746e+01
2.200000000000000000e+01,9.458095864490601912e+01,2.871414337013015183e-01,2.993956954273906490e+01
2.300000000000000000e+01,9.453426054239379539e+01,2.840704467263556188e-01,2.994898364178661510e+01
2.400000000000000000e+01,9.450379475913558736e+01,2.820846641657940301e-01,2.997256602570785944e+01
2.500000000000000000e+01,9.448483211113821767e+01,2.808556797932663662e-01,2.998242022745170132e+01
2.600000000000000000e+01,9.447005938832822380e+01,2.799019595036146835e-01,2.998533999284354579e+01
2.700000000000000000e+01,9.445795318064483581e+01,2.791228032194158493e-01,2.998817485511432324e+01
2.800000000000000000e+01,9.444593164421438303e+01,2.783512426135198448e-01,2.998824988339288211e+01
2.900000000000000000e+01,9.443964684798109488e+01,2.779487241069577563e-01,2.999536612934993229e+01
3.000000000000000000e+01,9.443650443643007009e+01,2.777476823250548676e-01,2.999678291437192357e+01
3.100000000000000000e+01,9.443371914125903288e+01,2.775696093144321419e-01,2.999703227125185023e+01
3.200000000000000000e+01,9.443102994409566975e+01,2.773977884916450920e-01,2.999731097076644915e+01
3.300000000000000000e+01,9.442865192869902558e+01,2.772459386127364978e-01,2.999764608478781014e+01
3.400000000000000000e+01,9.442608049088514122e+01,2.770818311457765581e-01,2.999724620191905800e+01
3.500000000000000000e+01,9.442304371950855568e+01,2.768881514896547325e-01,2.999700095455800053e+01
3.600000000000000000e+01,9.441913061814457819e+01,2.766387807357995610e-01,2.999572280456978035e+01
3.700000000000000000e+01,9.441446651940775325e+01,2.763418444293410658e-01,2.999593808822458385e+01
3.800000000000000000e+01,9.441087736362550231e+01,2.761135605711454444e-01,2.999711004851445395e+01
3.900000000000000000e+01,9.440810362245505871e+01,2.759372693532173848e-01,2.999733686785632614e+01
4.000000000000000000e+01,9.440455305485693316e+01,2.757117694706134881e-01,2.999608757726678476e+01
4.100000000000000000e+01,9.439962421094210754e+01,2.753990394016926913e-01,2.999488525824309804e+01
4.200000000000000000e+01,9.439523602394402246e+01,2.751209119573124751e-01,2.999606471295710364e+01
4.300000000000000000e+01,9.439083856881833867e+01,2.748424788634034610e-01,2.999540293024223914e+01
4.400000000000000000e+01,9.438470600612835426e+01,2.744546546234965523e-01,2.999410182732664509e+01
4.500000000000000000e+01,9.437764522672382839e+01,2.740088075282591240e-01,2.999328629170494764e+01
4.600000000000000000e+01,9.436750120378287932e+01,2.733695389891261929e-01,2.999012992062737482e+01
4.700000000000000000e+01,9.435206897171062224e+01,2.723998707481418147e-01,2.998575250526180724e+01
4.800000000000000000e+01,9.433182985879902560e+01,2.711333786149869862e-01,2.998005163074641644e+01
4.900000000000000000e+01,9.431391394355226510e+01,2.700171781834938556e-01,2.998346056043795116e+01
5.000000000000000000e+01,9.429967197371608734e+01,2.691331517711110788e-01,2.998694482916403103e+01
5.100000000000000000e+01,9.428910364765370389e+01,2.684790267211242254e-01,2.999036122877650712e+01
5.200000000000000000e+01,9.428089746068734200e+01,2.679722026696621517e-01,2.999271955780704602e+01
5.300000000000000000e+01,9.427495303176033303e+01,2.676056651926746466e-01,2.999450848422443627e+01
5.400000000000000000e+01,9.426864535735593620e+01,2.672172779880078175e-01,2.999389623181002307e+01
5.500000000000000000e+01,9.426226633161269319e+01,2.668250706932230321e-01,2.999351757928846496e+01
5.600000000000000000e+01,9.425585783079725388e+01,2.664316308121357224e-01,2.999366199941415090e+01
