orig,opt
 (4.504512518964968321e-02+0.000000000000000000e+00j), (7.220938879993425014e-03+0.000000000000000000e+00j)
 (1.803516261909252072e-01+0.000000000000000000e+00j), (2.888949670538829007e-02+0.000000000000000000e+00j)
 (4.064343430861023787e-01+0.000000000000000000e+00j), (6.502290664511294060e-02+0.000000000000000000e+00j)
 (7.241562430282403318e-01+0.000000000000000000e+00j), (1.156499227189236867e-01+0.000000000000000000e+00j)
 (1.134735844950821138e+00+0.000000000000000000e+00j), (1.808108680054197337e-01+0.000000000000000000e+00j)
 (1.639757764208773505e+00+0.000000000000000000e+00j), (2.605577023373069068e-01+0.000000000000000000e+00j)
 (2.241186531112862035e+00+0.000000000000000000e+00j), (3.549541096855719502e-01+0.000000000000000000e+00j)
 (2.941383887108552475e+00+0.000000000000000000e+00j), (4.640756054999106150e-01+0.000000000000000000e+00j)
 (3.743129816575616164e+00+0.000000000000000000e+00j), (5.880096643290877445e-01+0.000000000000000000e+00j)
 (4.649647632580043322e+00+0.000000000000000000e+00j), (7.268558681112705644e-01+0.000000000000000000e+00j)
 (5.664633502047371927e+00+0.000000000000000000e+00j), (8.807260755902932559e-01+0.000000000000000000e+00j)
 (6.792290873129754658e+00+0.000000000000000000e+00j), (1.049744613377701974e+00+0.000000000000000000e+00j)
 (8.037370354135077832e+00+0.000000000000000000e+00j), (1.234048489258263048e+00+0.000000000000000000e+00j)
 (9.405215696090152733e+00+0.000000000000000000e+00j), (1.433787628401368197e+00+0.000000000000000000e+00j)
 (1.090181664689706054e+01+0.000000000000000000e+00j), (1.649125133228835027e+00+0.000000000000000000e+00j)
 (1.253386958455333655e+01+0.000000000000000000e+00j), (1.880237567763467954e+00+0.000000000000000000e+00j)
 (1.430884699669291926e+01+0.000000000000000000e+00j), (2.127315267384380260e+00+0.000000000000000000e+00j)
 (1.623507706640386417e+01+0.000000000000000000e+00j), (2.390562674962561474e+00+0.000000000000000000e+00j)
 (1.832183484948893692e+01+0.000000000000000000e+00j), (2.670198704546602908e+00+0.000000000000000000e+00j)
 (2.057944680071932453e+01+0.000000000000000000e+00j), (2.966457133832229420e+00+0.000000000000000000e+00j)
 (2.301941077413478354e+01+0.000000000000000000e+00j), (3.279587026361878266e+00+0.000000000000000000e+00j)
 (2.565453361194031245e+01+0.000000000000000000e+00j), (3.609853185024104238e+00+0.000000000000000000e+00j)
 (2.849909030026677925e+01+0.000000000000000000e+00j), (3.957536641081430329e+00+0.000000000000000000e+00j)
 (3.156900655882465401e+01+0.000000000000000000e+00j), (4.322935173400074049e+00+0.000000000000000000e+00j)
 (3.488207049794261394e+01+0.000000000000000000e+00j), (4.706363868340990742e+00+0.000000000000000000e+00j)
 (3.845817770555586179e+01+0.000000000000000000e+00j), (5.108155716713103089e+00+0.000000000000000000e+00j)
 (4.231961592024543961e+01+0.000000000000000000e+00j), (5.528662251878134093e+00+0.000000000000000000e+00j)
 (4.649139665543177102e+01+0.000000000000000000e+00j), (5.968254231348716132e+00+0.000000000000000000e+00j)
 (5.100164265847980971e+01+0.000000000000000000e+00j), (6.427322364332457738e+00+0.000000000000000000e+00j)
 (5.588204204947434306e+01+0.000000000000000000e+00j), (6.906278088277515437e+00+0.000000000000000000e+00j)
 (6.116838241010430721e+01+0.000000000000000000e+00j), (7.405554397513543385e+00+0.000000000000000000e+00j)
 (6.690118114371637148e+01+0.000000000000000000e+00j), (7.925606727483655689e+00+0.000000000000000000e+00j)
 (7.312643227020058134e+01+0.000000000000000000e+00j), (8.466913898351359435e+00+0.000000000000000000e+00j)
 (7.989649468850339531e+01+0.000000000000000000e+00j), (9.029979122192481000e+00+0.000000000000000000e+00j)
 (8.727115315133596596e+01+0.000000000000000000e+00j), (9.615331078350628502e+00+0.000000000000000000e+00j)
 (9.531889116977762910e+01+0.000000000000000000e+00j), (1.022352506200697420e+01+0.000000000000000000e+00j)
 (1.041184253401447677e+02+0.000000000000000000e+00j), (1.085514421156959308e+01+0.000000000000000000e+00j)
 (1.137605639575590715e+02+0.000000000000000000e+00j), (1.151080082112556902e+01+0.000000000000000000e+00j)
 (1.243504702653000322e+02+0.000000000000000000e+00j), (1.219113774472942779e+01+0.000000000000000000e+00j)
 (1.360104337454044696e+02+0.000000000000000000e+00j), (1.289682990024961562e+01+0.000000000000000000e+00j)
 (1.488832834756115062e+02+0.000000000000000000e+00j), (1.362858588140244898e+01+0.000000000000000000e+00j)
 (1.631366186222781778e+02+0.000000000000000000e+00j), (1.438714968728550581e+01+0.000000000000000000e+00j)
 (1.789680865685203059e+02+0.000000000000000000e+00j), (1.517330258059386239e+01+0.000000000000000000e+00j)
 (1.966120148207927230e+02+0.000000000000000000e+00j), (1.598786508628763414e+01+0.000000000000000000e+00j)
 (2.163478070285624142e+02+0.000000000000000000e+00j), (1.683169914477301887e+01+0.000000000000000000e+00j)
 (2.385106584989327132e+02+0.000000000000000000e+00j), (1.770571043528719457e+01+0.000000000000000000e+00j)
 (2.635053508790113597e+02+0.000000000000000000e+00j), (1.861085088745798188e+01+0.000000000000000000e+00j)
 (2.918241767748917255e+02+0.000000000000000000e+00j), (1.954812140253932995e+01+0.000000000000000000e+00j)
 (3.240704654870039576e+02+0.000000000000000000e+00j), (2.051857481101506409e+01+0.000000000000000000e+00j)
 (3.609897966218860006e+02+0.000000000000000000e+00j), (2.152331913437061317e+01+0.000000000000000000e+00j)
 (4.035119035342045777e+02+0.000000000000000000e+00j), (2.256354090776333976e+01+0.000000000000000000e+00j)
 (4.528076518736570506e+02+0.000000000000000000e+00j), (2.364040905438328721e+01+0.000000000000000000e+00j)
 (5.103676068281417315e+02+0.000000000000000000e+00j), (2.475527941839391843e+01+0.000000000000000000e+00j)
 (5.781120422542205688e+02+0.000000000000000000e+00j), (2.590949932041267445e+01+0.000000000000000000e+00j)
 (6.585475983250832996e+02+0.000000000000000000e+00j), (2.710451227152733722e+01+0.000000000000000000e+00j)
 (7.549945813212287931e+02+0.000000000000000000e+00j), (2.834184407574556985e+01+0.000000000000000000e+00j)
 (8.719237046990191402e+02+0.000000000000000000e+00j), (2.962310914621621194e+01+0.000000000000000000e+00j)
 (1.015466754890730726e+03+0.000000000000000000e+00j), (3.095001768665485287e+01+0.000000000000000000e+00j)
 (1.194211705216777091e+03+0.000000000000000000e+00j), (3.232438382182836989e+01+0.000000000000000000e+00j)
 (1.420478438431897985e+03+0.000000000000000000e+00j), (3.374813486080358871e+01+0.000000000000000000e+00j)
 (1.712437392445267733e+03+0.000000000000000000e+00j), (3.522332193092294972e+01+0.000000000000000000e+00j)
 (2.097771861567782707e+03+0.000000000000000000e+00j), (3.675213228921568742e+01+0.000000000000000000e+00j)
 (2.620314110343017092e+03+0.000000000000000000e+00j), (3.833690370788470858e+01+0.000000000000000000e+00j)
 (3.352766466343457523e+03+0.000000000000000000e+00j), (3.998014145485750959e+01+0.000000000000000000e+00j)
 (4.422817321896376598e+03+0.000000000000000000e+00j), (4.168453855970474820e+01+0.000000000000000000e+00j)
 (6.071540951564102215e+03+0.000000000000000000e+00j), (4.345300029130270758e+01+0.000000000000000000e+00j)
 (8.799165032769466052e+03+0.000000000000000000e+00j), (4.528867410634688184e+01+0.000000000000000000e+00j)
 (1.378673980278388808e+04+0.000000000000000000e+00j), (4.719498680354882936e+01+0.000000000000000000e+00j)
 (2.440187868582883675e+04+0.000000000000000000e+00j), (4.917569130681012268e+01+0.000000000000000000e+00j)
 (5.370093247230247653e+04+0.000000000000000000e+00j), (5.123492651410897025e+01+0.000000000000000000e+00j)
 (1.959919673680753331e+05+0.000000000000000000e+00j), (5.337729516519419093e+01+0.000000000000000000e+00j)
 (1.314260882215065137e+07+0.000000000000000000e+00j), (5.560796698999203613e+01+0.000000000000000000e+00j)
 (3.122174851779973251e+05+0.000000000000000000e+00j), (5.793281798349696743e+01+0.000000000000000000e+00j)
 (7.069257029649907781e+04+0.000000000000000000e+00j), (6.035862233582447800e+01+0.000000000000000000e+00j)
 (3.070421974037849577e+04+0.000000000000000000e+00j), (6.289332276548176281e+01+0.000000000000000000e+00j)
 (1.720129089882500921e+04+0.000000000000000000e+00j), (6.554642034488171021e+01+0.000000000000000000e+00j)
 (1.104910427345275275e+04+0.000000000000000000e+00j), (6.832955116346737157e+01+0.000000000000000000e+00j)
 (7.731901793403721058e+03+0.000000000000000000e+00j), (7.125736354444850917e+01+0.000000000000000000e+00j)
 (5.738132753478645100e+03+0.000000000000000000e+00j), (7.434889436941395502e+01+0.000000000000000000e+00j)
 (4.445193280566669273e+03+0.000000000000000000e+00j), (7.762980461115596142e+01+0.000000000000000000e+00j)
 (3.558197786006134265e+03+0.000000000000000000e+00j), (8.113615625214751503e+01+0.000000000000000000e+00j)
 (2.922824905751193455e+03+0.000000000000000000e+00j), (8.492108989326240476e+01+0.000000000000000000e+00j)
 (2.451816425898537091e+03+0.000000000000000000e+00j), (8.906727761706412139e+01+0.000000000000000000e+00j)
 (2.092794969982652674e+03+0.000000000000000000e+00j), (9.371167849597667043e+01+0.000000000000000000e+00j)
 (1.812764862054916648e+03+0.000000000000000000e+00j), (9.909876535045508206e+01+0.000000000000000000e+00j)
 (1.590088497500424864e+03+0.000000000000000000e+00j), (1.057068885368432944e+02+0.000000000000000000e+00j)
 (1.410091126660876398e+03+0.000000000000000000e+00j), (1.145899524204650959e+02+0.000000000000000000e+00j)
 (1.262530949146109833e+03+0.000000000000000000e+00j), (1.284836374376816082e+02+0.000000000000000000e+00j)
 (1.140081203268963918e+03+0.000000000000000000e+00j), (1.565004772714165142e+02+0.000000000000000000e+00j)
 (1.037386436484202932e+03+0.000000000000000000e+00j), (2.460747384534621460e+02+0.000000000000000000e+00j)
 (9.504573417301569407e+02+0.000000000000000000e+00j), (1.211309489146173746e+03+0.000000000000000000e+00j)
 (8.762720368372578150e+02+0.000000000000000000e+00j), (1.389106296693623335e+03+0.000000000000000000e+00j)
 (8.125069898502499655e+02+0.000000000000000000e+00j), (2.722807207304103940e+02+0.000000000000000000e+00j)
 (7.573515171187120814e+02+0.000000000000000000e+00j), (1.857605479704483571e+02+0.000000000000000000e+00j)
 (7.093774257301888611e+02+0.000000000000000000e+00j), (1.661995639683142940e+02+0.000000000000000000e+00j)
 (6.674458125958267374e+02+0.000000000000000000e+00j), (1.618813800332557662e+02+0.000000000000000000e+00j)
 (6.306393785757552450e+02+0.000000000000000000e+00j), (1.630754764371975796e+02+0.000000000000000000e+00j)
 (5.982125672255980362e+02+0.000000000000000000e+00j), (1.669118030640730979e+02+0.000000000000000000e+00j)
 (5.695543525504051559e+02+0.000000000000000000e+00j), (1.723209606377374428e+02+0.000000000000000000e+00j)
 (5.441601328704759908e+02+0.000000000000000000e+00j), (1.788540563946442887e+02+0.000000000000000000e+00j)
