iter,f0val,fvirg,area
1.000000000000000000e+00,1.022830496588218807e+02,1.691628392865735409e+00,3.349999999999977263e+01
2.000000000000000000e+00,1.026788118358264654e+02,1.853024594490733756e+00,3.264468625621405806e+01
3.000000000000000000e+00,1.030871265969593225e+02,2.035694764478527485e+00,3.178937262731860258e+01
4.000000000000000000e+00,1.035948292160697548e+02,2.288141729883433673e+00,3.076299521965294304e+01
5.000000000000000000e+00,1.042317153074871072e+02,2.649546407805213111e+00,2.953134129388635998e+01
6.000000000000000000e+00,1.040377559251031556e+02,2.533819023951468186e+00,2.989322959361504672e+01
7.000000000000000000e+00,1.039848188725608935e+02,2.503121250695572009e+00,2.998868954454466618e+01
8.000000000000000000e+00,1.039763625127038438e+02,2.498252043193247118e+00,2.999753904716757091e+01
9.000000000000000000e+00,1.039721038353522999e+02,2.495803466216997002e+00,2.999734828794829866e+01
1.000000000000000000e+01,1.039673131642813786e+02,2.493051881340495157e+00,2.999697317030643617e+01
1.100000000000000000e+01,1.039618622949443250e+02,2.489924792196699599e+00,2.999657330423294255e+01
1.200000000000000000e+01,1.039557215169124476e+02,2.486406610094850311e+00,2.999616477383299085e+01
1.300000000000000000e+01,1.039488859774470626e+02,2.482496230632191381e+00,2.999576356251821707e+01
1.400000000000000000e+01,1.039413795373509970e+02,2.478209136281201985e+00,2.999538871255530381e+01
1.500000000000000000e+01,1.039332550079383992e+02,2.473577380048936902e+00,2.999505918672335980e+01
1.600000000000000000e+01,1.039245836895385509e+02,2.468643451806249889e+00,2.999478583803908549e+01
1.700000000000000000e+01,1.039154257839405631e+02,2.463443343306588318e+00,2.999456085927508298e+01
1.800000000000000000e+01,1.039058160429944877e+02,2.457998447807330678e+00,2.999435688968692304e+01
1.900000000000000000e+01,1.038957048959184846e+02,2.452282447264255705e+00,2.999413500402870980e+01
2.000000000000000000e+01,1.038848755884978203e+02,2.446175199938640077e+00,2.999379738448062582e+01
2.100000000000000000e+01,1.038731759423791914e+02,2.439594211583523187e+00,2.999368282081054105e+01
2.200000000000000000e+01,1.038608626737997866e+02,2.432687185159759569e+00,2.999343166083523471e+01
2.300000000000000000e+01,1.038472035738450927e+02,2.425048101553560542e+00,2.999309349222351173e+01
2.400000000000000000e+01,1.038318804068110666e+02,2.416506906325572857e+00,2.999285719592259625e+01
2.500000000000000000e+01,1.038102778960245729e+02,2.404516655114293577e+00,2.998959107669174529e+01
2.600000000000000000e+01,1.037730173553382826e+02,2.383975212722188708e+00,2.998190608695015058e+01
2.700000000000000000e+01,1.036978483731178926e+02,2.343067700753387328e+00,2.996356626336854134e+01
